--------- beginning of system
01-25 16:11:44.890  1167 31106 E SchedPolicy: set_timerslack_ns write failed: Operation not permitted
01-25 16:11:45.215   610   654 I ActivityManager: Start proc 31107:com.zjinnova.zlink/u0a115 for service com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService
01-25 16:11:45.337   610  1108 D DisplayManagerService: Display listener for pid 31107 died.
01-25 16:11:45.338   610  1993 I ActivityManager: Process com.zjinnova.zlink (pid 31107) has died: fore SVC 
01-25 16:11:45.338   610  1993 W ActivityManager: Scheduling restart of crashed service com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService in 4000ms
01-25 16:11:46.209   610   654 I ActivityManager: Start proc 31134:com.zjinnova.zlink/u0a115 for service com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService
01-25 16:11:46.384   610  1993 D DisplayManagerService: Display listener for pid 31134 died.
01-25 16:11:46.384   610  1992 I ActivityManager: Process com.zjinnova.zlink (pid 31134) has died: fore SVC 
01-25 16:11:46.384   610  1992 W ActivityManager: Canceling start item Intent { act=zjinnova.android.intent.action.ZLINK_SERVICE } in service ComponentInfo{com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService}
01-25 16:11:46.384   610  1992 W ActivityManager: Scheduling restart of crashed service com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService in 1000ms
01-25 16:11:47.163   610   652 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.bluetooth.adapter.action.CONNECTION_STATE_CHANGED flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
01-25 16:11:47.397   610   654 I ActivityManager: Start proc 31153:com.zjinnova.zlink/u0a115 for service com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService
01-25 16:11:47.538   610  1992 D DisplayManagerService: Display listener for pid 31153 died.
01-25 16:11:47.538   610  1953 I ActivityManager: Process com.zjinnova.zlink (pid 31153) has died: fore SVC 
01-25 16:11:47.539   610  1953 W ActivityManager: Scheduling restart of crashed service com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService in 4000ms
01-25 16:11:48.353   610   654 I ActivityManager: Start proc 31189:com.zjinnova.zlink/u0a115 for service com.zjinnova.zlink/com.zjinnova.android.zlink.features.service.DaemonService
01-25 16:11:48.488   610  1953 D DisplayManagerService: Display listener for pid 31189 died.
01-25 16:11:48.488   610  1561 I ActivityManager: Process com.zjinnova.zlink (pid 31189) has died: fore SVC 
